Name;Path;Cmp;A/N;Description;MAK Status
ZMMEXPS3;mvx/app/pgm/customer;CBR;T101919CBR001N;MobiMedia Export ZMMEXPS3 - Währungen (Chapter 1.4.4.) ;development
ZMMEXPS4;mvx/app/pgm/customer;CBR;C002072CBR001N;#103752 — 01/11 SST: MobiMedia Export Erweiterungen;development
ZMMEXPS4;mvx/app/pgm/customer;CBR;T101921CBR001N;101921 : GAP1_2 interface MobiMedia M3 export - CodeTabellen (Chapter 1.4.5.);development
ZMMEXPS5;mvx/app/pgm/customer;CBR;C002072CBR001N;#103752 — 01/11 SST: MobiMedia Export Erweiterungen;development
ZMMEXPS5;mvx/app/pgm/customer;CBR;T101923CBR001N;Related T# 45040 MobiMedia Export ZMMEXPS5 - Kundendaten (Chapter 1.4.6.) ;development
ZMMFEB;HFix_ZMMFEB_CBR_C002079CBR001N;CBR;C002079CBR001N;#103925 — 01/12 SST: MobiMedia Artikelfeedback;development
ZMMORS;HFix_ZMMORS_CBR_C001864CBR002N;CBR;C001864CBR002N;Migrating v10 -> v13 : 45042 : Interface MobiMedia M3 Import Orders;test
ZMMOVA;HFix_ZMMOVA_CBR_C001713CBR002N;CBR;C001713CBR002N;"Migrating from v10 to v13 : 44101 - CBR-GAP1_1 Schnittstelle MobiMedia Tabellen
";test
ZMMQTY;HFix_ZMMQTY_CBR_C001638CBR001N;CBR;C001638CBR001N;42401: GAP29 Minimum quantity per block;test
ZMMQTZ;HFix_ZMMQTZ_CBR_C001638CBR001N;CBR;C001638CBR001N;42401: GAP29 Minimum quantity per block;test
ZMORDH;HFix_ZMORDH_CBR_C001713CBR002N;CBR;C001713CBR002N;"Migrating from v10 to v13 : 44101 - CBR-GAP1_1 Schnittstelle MobiMedia Tabellen
";test
ZMORDL;HFix_ZMORDL_CBR_C001713CBR002N;CBR;C001713CBR002N;"Migrating from v10 to v13 : 44101 - CBR-GAP1_1 Schnittstelle MobiMedia Tabellen
";test
ZMORDL;HFix_ZMORDL_CBR_C001864CBR002N;CBR;C001864CBR002N;Migrating v10 -> v13 : 45042 : Interface MobiMedia M3 Import Orders;test
ZMORDX;HFix_ZMORDX_CBR_C001713CBR002N;CBR;C001713CBR002N;"Migrating from v10 to v13 : 44101 - CBR-GAP1_1 Schnittstelle MobiMedia Tabellen
";test
ZMORDY;HFix_ZMORDY_CBR_C001713CBR002N;CBR;C001713CBR002N;"Migrating from v10 to v13 : 44101 - CBR-GAP1_1 Schnittstelle MobiMedia Tabellen
";test
ZMORIMS1;mvx/app/pgm/customer;CBR;C001864CBR002N;Migrating v10 -> v13 : 45042 : Interface MobiMedia M3 Import Orders;test
ZMORIMS2;mvx/app/pgm/customer;CBR;C001864CBR002N;Migrating v10 -> v13 : 45042 : Interface MobiMedia M3 Import Orders;test
ZMORIMS2;mvx/app/pgm/customer;CBR;C002043CBR001N;#103233 : GAP1_3 Schnittstelle MobiMedia M3 Import Extend Order expansion;development
ZMORMM;mvx/app/pgm/customer;CBR;C001864CBR002N;Migrating v10 -> v13 : 45042 : Interface MobiMedia M3 Import Orders;test
ZMORMM;mvx/app/pgm/customer;CBR;C001929CBR002N;Migrating from v10 to v13 : 45041 - 01/04 Schnittstelle MobiMedia Neupartneranlage;test
ZMORMM;mvx/app/pgm/customer;CBR;C002079CBR001N;#103925 — 01/12 SST: MobiMedia Artikelfeedback;development
ZMORMMCL;mvx/app/pgm/customer;CBR;C001864CBR003N;45042 : Interface MobiMedia M3 Import Orders - CL program for ZMORMM;test
ZMPLAN;HFix_ZMPLAN_CBR_C001713CBR002N;CBR;C001713CBR002N;"Migrating from v10 to v13 : 44101 - CBR-GAP1_1 Schnittstelle MobiMedia Tabellen
";test
ZMSTRU;HFix_ZMSTRU_CBR_C001713CBR002N;CBR;C001713CBR002N;"Migrating from v10 to v13 : 44101 - CBR-GAP1_1 Schnittstelle MobiMedia Tabellen
";test
ZOICUC;HFix_ZOICUC_CBR_C001741CBR001N;CBR;C001741CBR001N;GAP_129 Bulk change of order number of customers;test
ZPDMMH;HFix_ZPDMMH_CBR_C002020CBR001N;CBR;C002020CBR001N;Ticket 102332 : CR158: Rückmeldung QI Ergebnisse;development
ZPDMMP;HFix_ZPDMMP_CBR_C002020CBR001N;CBR;C002020CBR001N;Ticket 102332 : CR158: Rückmeldung QI Ergebnisse;development
ZPDMMS;HFix_ZPDMMS_CBR_C002020CBR001N;CBR;C002020CBR001N;Ticket 102332 : CR158: Rückmeldung QI Ergebnisse;development
ZPEADR;HFix_ZPEADR_CBR_C001703CBR002N;CBR;C001703CBR002N;(Migration from V10 to V13) : 44102 - 125/1 Expansion of sales structure ;test
ZPRCUC;HFix_ZPRCUC_CBR_C001861CBR001T;CBR;C001861CBR001T;Provisionsabrechnung;development
ZPROMA;HFix_ZPROMA_CBR_C001861CBR001T;CBR;C001861CBR001T;Provisionsabrechnung;development
ZPRSTH;HFix_ZPRSTH_CBR_C001861CBR001T;CBR;C001861CBR001T;Provisionsabrechnung;development
ZPRSTL;HFix_ZPRSTL_CBR_C001861CBR001T;CBR;C001861CBR001T;Provisionsabrechnung;development
ZPRSTM;HFix_ZPRSTM_CBR_C001923CBR001T;CBR;C001923CBR001T;GAP 238 - Aktualisierung Preisliste bei Neubestückung;test
ZPRSTY;HFix_ZPRSTY_CBR_C001713CBR002N;CBR;C001713CBR002N;"Migrating from v10 to v13 : 44101 - CBR-GAP1_1 Schnittstelle MobiMedia Tabellen
";test
ZQUINS;HFix_ZQUINS_CBR_C002020CBR001N;CBR;C002020CBR001N;Ticket 102332 : CR158: Rückmeldung QI Ergebnisse;development
ZRPYOR;HFix_ZRPYOR_CBR_C001984CBR001N;CBR;C001984CBR001N;Ticket # 101343  : Control central regulator as per order category.;development
ZSAMPL;HFix_ZSAMPL_CBR_C001907CBR001N;CBR;C001907CBR001N;"Ticket : 44641 : GAP79 Creating QI-random samples
";development
ZSAMPL;HFix_ZSAMPL_CBR_C002014CBR001N;CBR;C002014CBR001N;T# 102275 - CR154 Pflege Stichprobenplan, -mengen;test
ZSHOPW;HFix_ZSHOPW_CBR_C001899CBR003T;CBR;C001899CBR003T;Vertragsmanagement der Partner;test
ZSIV;DE;CBR;C001959CBR001T;Rechnungsprüfung Ausgangsrechnung mit Vorlagenschablone;test
ZSIV;GB;CBR;C001959CBR001T;Rechnungsprüfung Ausgangsrechnung mit Vorlagenschablone;test
ZSMDSM;HFix_ZSMDSM_CBR_C001703CBR002N;CBR;C001703CBR002N;(Migration from V10 to V13) : 44102 - 125/1 Expansion of sales structure ;test
ZSMDSM;HFix_ZSMDSM_CBR_C002074CBR001N;CBR;C002074CBR001N;#103996 : 50/01 - SST: CR 184: Vertriebsstrukturen;development
ZSMDSM;HFix_ZSMDSM_CBR_C002079CBR001N;CBR;C002079CBR001N;#103925 — 01/12 SST: MobiMedia Artikelfeedback;development
ZSPAKO;HFix_ZSPAKO_CBR_C001931CBR001N;CBR;C001931CBR001N;terna#101487 — MKM-Salespromotion ;test
ZSPAPO;HFix_ZSPAPO_CBR_C001931CBR001N;CBR;C001931CBR001N;terna#101487 — MKM-Salespromotion ;test
ZSPAPO;HFix_ZSPAPO_CBR_C002033CBR001N;CBR;C002033CBR001N;#103068 : MKM Zusatzanforderung Marketingpauschalen;development
ZSPAZA;HFix_ZSPAZA_CBR_C001931CBR001N;CBR;C001931CBR001N;terna#101487 — MKM-Salespromotion ;test
ZSPSCU;HFix_ZSPSCU_CBR_C001931CBR001N;CBR;C001931CBR001N;terna#101487 — MKM-Salespromotion ;test
ZSTEAM;HFix_ZSTEAM_CBR_C002073CBR001N;CBR;C002073CBR001N;#103782 — 01/11 SST: MobiMedia - Export Teams;development
ZSTIVD;HFix_ZSTIVD_CBR_C001959CBR001T;CBR;C001959CBR001T;Rechnungsprüfung Ausgangsrechnung mit Vorlagenschablone;test
ZSTIVH;HFix_ZSTIVH_CBR_C001959CBR001T;CBR;C001959CBR001T;Rechnungsprüfung Ausgangsrechnung mit Vorlagenschablone;test
ZSTLSU;VFix_ZSTLSU_CBR_C001573CBR003T;CBR;C001573CBR003T;GAP103 Information Differenzschreiben zu Offene Posten;exported
ZSTYAH;HFix_ZSTYAH_CBR_C002062CBR001N;CBR;C002062CBR001N;Ticket : 103621 : CR 185: Artikelmerkmalstabelle;test
ZSTYAV;HFix_ZSTYAV_CBR_C002062CBR001N;CBR;C002062CBR001N;Ticket : 103621 : CR 185: Artikelmerkmalstabelle;test
ZSTYLE;HFix_ZSTYLE_CBR_C001713CBR002N;CBR;C001713CBR002N;"Migrating from v10 to v13 : 44101 - CBR-GAP1_1 Schnittstelle MobiMedia Tabellen
";test
ZSTYLE;HFix_ZSTYLE_CBR_T102604CBR001N;CBR;T102604CBR001N;MobiMedia - Asynchronous jobs for data sync with staging DB and M3;development
ZSTYXA;HFix_ZSTYXA_CBR_C001713CBR002N;CBR;C001713CBR002N;"Migrating from v10 to v13 : 44101 - CBR-GAP1_1 Schnittstelle MobiMedia Tabellen
";test
ZSTYXA;HFix_ZSTYXA_CBR_T102604CBR001N;CBR;T102604CBR001N;MobiMedia - Asynchronous jobs for data sync with staging DB and M3;development
ZSTYYA;HFix_ZSTYYA_CBR_C001713CBR002N;CBR;C001713CBR002N;"Migrating from v10 to v13 : 44101 - CBR-GAP1_1 Schnittstelle MobiMedia Tabellen
";test
ZTMEMB;HFix_ZTMEMB_CBR_C002073CBR001N;CBR;C002073CBR001N;#103782 — 01/11 SST: MobiMedia - Export Teams;development
ZTRAAT;HFix_ZTRAAT_CBR_C001639CBR001N;CBR;C001639CBR001N;42405: GAP33 Erweiterung Transportarten;test
ZTRAAT;HFix_ZTRAAT_CBR_C002054CBR003N;CBR;C002054CBR003N;#102060 — 35/04 SST: SCM-Teil 1 MEC Mapping;development
ZTRWAY;HFix_ZTRWAY_CBR_C001639CBR001N;CBR;C001639CBR001N;42405: GAP33 Erweiterung Transportarten;test
ZTRWAY;HFix_ZTRWAY_CBR_C002054CBR003N;CBR;C002054CBR003N;#102060 — 35/04 SST: SCM-Teil 1 MEC Mapping;development
